# id,lat_e6,lon_e6
1,37855074,112173244
2,39399008,111192361
3,32799299,116218532
4,31892496,115023023
5,35844902,113863595
6,34885887,112206932
7,32113195,114689570
8,37161701,113269170
9,31731814,111918611
10,34732204,111731865
11,33954962,114279508
12,36138527,111271900
13,33557780,116416383
14,39087606,117716677
15,30406787,118164823
16,37846658,113475372
17,37509102,110142932
18,39652987,118116615
19,34549591,111452736
20,36523211,119843067
21,31875851,112411800
22,36991060,117557320
23,38676387,112600461
24,34236053,114656566
25,37204375,117835099
26,34579559,112966630
27,33579052,116925492
28,37235283,111070530
29,39669592,110712575
30,30330953,111704080
31,36136262,114081656
32,37134971,117715742
33,33081820,113543312
34,38703003,111925201
35,38819213,113305384
36,39368186,113476798
37,31445452,110481359
38,35701321,119052814
39,31563640,114601308
40,30431197,117887442
41,31999649,113202439
42,33654739,114953465
43,30828856,112017421
44,32780500,116472072
45,33142107,114331830
46,38310498,118656001
47,32249927,117474015
48,38603186,119295055
49,34622974,111225823
50,31301615,110060160
51,34101518,114673513
52,35798115,113956051
53,34368391,116399828
54,34779032,118897022
55,39688262,110225796
56,34902004,119339945
57,32394601,118276279
58,38526847,113154664
59,38824160,118789323
60,37043165,111469776
61,38191862,114106002
62,37152430,111592938
63,39798816,119159672
64,33638989,110015224
65,30072351,115119285
66,38996102,116859274
67,30570023,117509804
68,37657559,111420072
69,31762887,114072053
70,32134778,113454823
71,34284241,118984290
72,38599234,113672608
73,37630113,111414270
74,39409335,114488026
75,31840475,112545526
76,38955657,114690866
77,30832426,118335599
78,39388351,117283207
79,30777288,111511705
80,32160227,115156442
81,37292257,110047151
82,32476085,115880411
83,33603162,111133129
84,34044612,118884641
85,30351814,112494960
86,30023979,119956507
87,31053126,118415932
88,31750912,117080956
89,38039852,119474033
90,32025721,114359767
91,30001033,112909675
92,35594159,111160711
93,39045049,117410861
94,34184878,117533315
95,31034137,115728771
96,36143725,110237203
97,36714132,116462998
98,30048936,116196374
99,33050804,114214814
100,30001570,116328277
101,35492613,115813649
102,34875043,112357520
103,34469510,117991434
104,30606395,111135176
105,36866898,111359593
106,37709834,112247941
107,35379943,117545447
108,35951613,118274189
109,32759707,118711618
110,35596887,110774718
111,37037278,119289699
112,34859004,115375210
113,31007922,113950472
114,33876211,116522505
115,37451100,116805801
116,35565009,115238393
117,31278769,111473517
118,32706872,113307794
119,32783053,118717261
120,39184710,110627895
121,38693884,115825333
122,34012865,115332622
123,33025268,113664188
124,33756723,112641695
125,39028224,117246591
126,35621971,114012978
127,36687835,117195677
128,30516712,113683979
129,36588109,114813238
130,34878195,115924793
131,36889225,119566727
132,31060450,115599746
133,38436406,113921483
134,38805666,115718039
135,35086164,118000626
136,31422161,110201798
137,31945889,117261849
138,37073503,119112887
139,32055658,115943913
140,34435111,113081526
141,31654758,117562225
142,39345276,111798260
143,34313799,117800565
144,32450771,110224419
145,38307969,113376445
146,35028559,113785236
147,36251998,118165990
148,33271514,118814535
149,31709348,118701419
150,39142677,118311594
151,30044243,111198290
152,30097019,111997910
153,35912153,115400648
154,36658880,112391922
155,36991116,114704835
156,38955468,110762717
157,39939264,110432827
158,38824608,110532636
159,30635583,113772606
160,38351422,113913191
161,34310824,119691601
162,35732988,113989818
163,34911490,115509763
164,32377098,117512379
165,31528704,117701347
166,37980801,118572037
167,38102642,111295123
168,35882227,113771112
